fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0.2644628099173554,0.126666673819224,0.3600000143051147,0.3082822202904823,0.0598006674221583,0.1527777777777778,0.3778801843317972,0.8377591513897178,0.2170542635658914,0.1292134764489163,0.115942056628241,6
0.2066115860111457,0.1466666746139526,0.3400000035762787,0.0153374236785561,0.0664451805955151,0.0451388888888888,0.2903225806451613,0.4155619808790615,0.4496123661366544,0.1516853986161478,0.217391304347826,6
0.3553719323528699,0.1333333341280619,0.4000000059604645,0.0966257683338563,0.0681063135299967,0.1006944444444444,0.2096774193548387,0.4819071991739855,0.4186046437699665,0.1235955042785473,0.3043478813724241,6
0.2809917197739782,0.10000000278155,0.3199999928474426,0.1211656441717791,0.0813953460649002,0.1597222222222222,0.4147465437788018,0.5120618288709685,0.3643411296282627,0.1011235988541935,0.275362263555112,6
0.2809917197739782,0.10000000278155,0.3199999928474426,0.1211656441717791,0.0813953460649002,0.1597222222222222,0.4147465437788018,0.5120618288709685,0.3643411296282627,0.1011235988541935,0.275362263555112,6
0.3553719323528699,0.1333333341280619,0.4000000059604645,0.0966257683338563,0.0681063135299967,0.1006944444444444,0.2096774193548387,0.4819071991739855,0.4186046437699665,0.1235955042785473,0.3043478813724241,6
0.1983470916748047,0.1599999952316284,0.1599999964237213,0.0981595092024539,0.0598006674221583,0.1006944444444444,0.2995391705069124,0.4698424713171573,0.3565891990365907,0.140449437532532,0.2318841132564821,6
0.2644628099173554,0.126666673819224,0.3600000143051147,0.3082822202904823,0.0598006674221583,0.1527777777777778,0.3778801843317972,0.8377591513897178,0.2170542635658914,0.1292134764489163,0.115942056628241,6
0.2066115860111457,0.1466666746139526,0.3400000035762787,0.0153374236785561,0.0664451805955151,0.0451388888888888,0.2903225806451613,0.4155619808790615,0.4496123661366544,0.1516853986161478,0.217391304347826,6
0.3553719323528699,0.0933333325386047,0.4300000071525574,0.013803680981595,0.0581395344876767,0.09375,0.2834101382488479,0.4034972530222333,0.3875969214032786,0.1292134764489163,0.4347826086956521,6
0.3553719323528699,0.126666673819224,0.4099999964237213,0.0130368105472962,0.0398671093375183,0.0347222222222222,0.1313364055299539,0.2225586899227038,0.2093023329742194,0.1910112372944864,0.5797101449275363,5
0.3966942464024567,0.10000000278155,0.4000000059604645,0.055214721000999,0.0431893690182917,0.0555555555555555,0.2373271889400921,0.4577813384328728,0.3255814766699029,0.1741572872976239,0.246376783951469,5
0.3388429830882175,0.0666666714350382,0.3700000047683716,0.0092024547190753,0.0514950151261301,0.0520833333333333,0.1589861751152073,0.2949326771734981,0.3565891990365907,0.2303370759728249,0.4057971290920091,5
0.23140495079608,0.0533333309491475,0.4000000059604645,0.013803680981595,0.0581395344876767,0.1631944444444444,0.315668202764977,0.2466809556912728,0.6356588851573856,0.1685393151272549,0.6376811041348222,7
0.3719008422094928,0.2266666579246521,0.6200000047683716,0.286042944785276,0.0514950151261301,0.1388888888888889,0.3824884792626728,0.7895074299074925,0.2015504023825474,0.2528089981400565,0.246376783951469,5
0.23140495079608,0.0600000011920928,0.3799999952316284,0.013803680981595,0.0382059825912266,0.09375,0.2442396313364055,0.258745683548101,0.4108527131782945,0.1853932651241174,0.4927535679029381,7
